Composition,
Date Added,1998-10-30
Formula,
Grain Size Description,<90.0um
Grain Size,"(45.0, 90.0)"
Locality,
Minimum Wavelength,300
Sample Name,MIX260
Maximum Wavelength,2600
Database of Origin,RELAB
Other Information,Olivine Metal 
References,
Resolution,5.0
Material class,Mixture
Sample Description,OLV003 (45-90 um) 75% + MET101 (45-90 um) 25%   
Sample ID,C1MX30
Original Sample ID,MX-EAC-030
Viewing Geometry,30.0° / 0.0°
Wavelength,Response
300.0,0.09999
305.0,0.10654
310.0,0.11379
315.0,0.12238
320.0,0.13208
325.0,0.1447
330.0,0.158
335.0,0.17341
340.0,0.18822
345.0,0.20146
350.0,0.21348
355.0,0.22341
360.0,0.2334
365.0,0.23953
370.0,0.24462
375.0,0.24787
380.0,0.2504
385.0,0.25247
390.0,0.25428
395.0,0.25551
400.0,0.25781
405.0,0.26032
410.0,0.26628
415.0,0.26862
420.0,0.26881
425.0,0.26956
430.0,0.27048
435.0,0.27189
440.0,0.27311
445.0,0.27389
450.0,0.27341
455.0,0.27528
460.0,0.27606
465.0,0.27725
470.0,0.27759
475.0,0.27953
480.0,0.2812
485.0,0.2822
490.0,0.28293
495.0,0.28364
500.0,0.28592
505.0,0.28797
510.0,0.28909
515.0,0.29021
520.0,0.29092
525.0,0.29166
530.0,0.29262
535.0,0.2934
540.0,0.29473
545.0,0.29544
550.0,0.29634
555.0,0.29781
560.0,0.29782
565.0,0.2986
570.0,0.29785
575.0,0.29969
580.0,0.29898
585.0,0.30007
590.0,0.29927
595.0,0.30027
600.0,0.2994
605.0,0.30008
610.0,0.29912
615.0,0.30005
620.0,0.29939
625.0,0.29842
630.0,0.29866
635.0,0.29877
640.0,0.29937
645.0,0.29972
650.0,0.30035
655.0,0.301
660.0,0.30199
665.0,0.30196
670.0,0.30263
675.0,0.30296
680.0,0.30271
685.0,0.30339
690.0,0.30305
695.0,0.30383
700.0,0.30257
705.0,0.303
710.0,0.30197
715.0,0.30108
720.0,0.30013
725.0,0.29995
730.0,0.29889
735.0,0.29849
740.0,0.29731
745.0,0.2967
750.0,0.29568
755.0,0.29425
760.0,0.29361
765.0,0.29245
770.0,0.2917
775.0,0.2897
780.0,0.28897
785.0,0.28742
790.0,0.28578
795.0,0.28406
800.0,0.2825
805.0,0.28146
810.0,0.28041
815.0,0.279
820.0,0.27832
825.0,0.27748
830.0,0.27666
835.0,0.27659
840.0,0.2756
845.0,0.2739
850.0,0.27443
855.0,0.27298
860.0,0.2746
865.0,0.27271
870.0,0.27239
875.0,0.27204
880.0,0.27106
885.0,0.27036
890.0,0.27004
895.0,0.26954
900.0,0.26671
905.0,0.2664
910.0,0.26403
915.0,0.26172
920.0,0.26193
925.0,0.25966
930.0,0.2581
935.0,0.256
940.0,0.25438
945.0,0.25212
950.0,0.24959
955.0,0.24705
960.0,0.24425
965.0,0.24217
970.0,0.23913
975.0,0.23711
980.0,0.23528
985.0,0.23266
990.0,0.2305
995.0,0.22869
1000.0,0.22545
1005.0,0.22402
1010.0,0.22274
1015.0,0.22051
1020.0,0.22013
1025.0,0.21831
1030.0,0.21809
1035.0,0.21682
1040.0,0.21639
1045.0,0.21494
1050.0,0.21535
1055.0,0.21535
1060.0,0.21623
1065.0,0.21609
1070.0,0.21755
1075.0,0.21735
1080.0,0.21957
1085.0,0.21935
1090.0,0.22144
1095.0,0.22301
1100.0,0.22529
1105.0,0.22666
1110.0,0.22871
1115.0,0.23004
1120.0,0.23273
1125.0,0.2348
1130.0,0.23718
1135.0,0.23801
1140.0,0.24022
1145.0,0.24194
1150.0,0.24388
1155.0,0.24593
1160.0,0.24643
1165.0,0.24785
1170.0,0.24922
1175.0,0.25016
1180.0,0.25089
1185.0,0.25211
1190.0,0.25293
1195.0,0.25383
1200.0,0.25355
1205.0,0.25446
1210.0,0.25538
1215.0,0.25655
1220.0,0.25795
1225.0,0.25804
1230.0,0.25848
1235.0,0.25961
1240.0,0.2614
1245.0,0.26229
1250.0,0.26192
1255.0,0.26322
1260.0,0.26574
1265.0,0.26588
1270.0,0.26777
1275.0,0.26894
1280.0,0.2696
1285.0,0.27128
1290.0,0.27159
1295.0,0.27316
1300.0,0.27491
1305.0,0.27774
1310.0,0.27799
1315.0,0.28057
1320.0,0.28257
1325.0,0.28507
1330.0,0.28709
1335.0,0.28718
1340.0,0.28762
1345.0,0.28921
1350.0,0.29047
1355.0,0.2924
1360.0,0.29431
1365.0,0.29593
1370.0,0.2978
1375.0,0.29997
1380.0,0.30191
1385.0,0.30345
1390.0,0.30514
1395.0,0.30645
1400.0,0.30774
1405.0,0.30892
1410.0,0.3109
1415.0,0.31248
1420.0,0.31488
1425.0,0.31504
1430.0,0.31812
1435.0,0.31896
1440.0,0.32107
1445.0,0.32166
1450.0,0.32397
1455.0,0.32542
1460.0,0.32825
1465.0,0.32664
1470.0,0.32936
1475.0,0.33074
1480.0,0.33267
1485.0,0.33411
1490.0,0.33597
1495.0,0.33607
1500.0,0.33703
1505.0,0.33789
1510.0,0.33916
1515.0,0.33984
1520.0,0.34155
1525.0,0.34207
1530.0,0.34456
1535.0,0.34385
1540.0,0.34515
1545.0,0.34594
1550.0,0.34691
1555.0,0.34777
1560.0,0.34875
1565.0,0.35037
1570.0,0.34929
1575.0,0.34824
1580.0,0.34923
1585.0,0.34941
1590.0,0.35083
1595.0,0.35062
1600.0,0.35079
1605.0,0.35088
1610.0,0.3533
1615.0,0.35409
1620.0,0.35375
1625.0,0.35532
1630.0,0.35429
1635.0,0.35503
1640.0,0.35521
1645.0,0.3548
1650.0,0.35496
1655.0,0.35545
1660.0,0.35625
1665.0,0.35747
1670.0,0.35868
1675.0,0.35871
1680.0,0.35845
1685.0,0.35772
1690.0,0.35815
1695.0,0.35833
1700.0,0.35991
1705.0,0.36057
1710.0,0.3604
1715.0,0.36077
1720.0,0.3607
1725.0,0.36102
1730.0,0.36163
1735.0,0.36157
1740.0,0.3625
1745.0,0.36224
1750.0,0.3628
1755.0,0.36293
1760.0,0.36347
1765.0,0.36329
1770.0,0.36355
1775.0,0.36368
1780.0,0.364
1785.0,0.36375
1790.0,0.36402
1795.0,0.36415
1800.0,0.36432
1805.0,0.36458
1810.0,0.36488
1815.0,0.36512
1820.0,0.36481
1825.0,0.36457
1830.0,0.36464
1835.0,0.36507
1840.0,0.36542
1845.0,0.36614
1850.0,0.36704
1855.0,0.36701
1860.0,0.36633
1865.0,0.36707
1870.0,0.36797
1875.0,0.36718
1880.0,0.36754
1885.0,0.36837
1890.0,0.36784
1895.0,0.36745
1900.0,0.3688
1905.0,0.3692
1910.0,0.36967
1915.0,0.37059
1920.0,0.37093
1925.0,0.37082
1930.0,0.37153
1935.0,0.37201
1940.0,0.37213
1945.0,0.37249
1950.0,0.37295
1955.0,0.37296
1960.0,0.37321
1965.0,0.37322
1970.0,0.37303
1975.0,0.37269
1980.0,0.37279
1985.0,0.37235
1990.0,0.37223
1995.0,0.37227
2000.0,0.3728
2005.0,0.37308
2010.0,0.37389
2015.0,0.37457
2020.0,0.37527
2025.0,0.37558
2030.0,0.37614
2035.0,0.37499
2040.0,0.37445
2045.0,0.37396
2050.0,0.37362
2055.0,0.37286
2060.0,0.37385
2065.0,0.37343
2070.0,0.37371
2075.0,0.37351
2080.0,0.37413
2085.0,0.37394
2090.0,0.37534
2095.0,0.37575
2100.0,0.37683
2105.0,0.37736
2110.0,0.37881
2115.0,0.37907
2120.0,0.37964
2125.0,0.37964
2130.0,0.37999
2135.0,0.37981
2140.0,0.38036
2145.0,0.38018
2150.0,0.38058
2155.0,0.38045
2160.0,0.38067
2165.0,0.37993
2170.0,0.38011
2175.0,0.38002
2180.0,0.38042
2185.0,0.3806
2190.0,0.38117
2195.0,0.38143
2200.0,0.3821
2205.0,0.38181
2210.0,0.38232
2215.0,0.38175
2220.0,0.38162
2225.0,0.38057
2230.0,0.38081
2235.0,0.37975
2240.0,0.38024
2245.0,0.38024
2250.0,0.38087
2255.0,0.38014
2260.0,0.38107
2265.0,0.38156
2270.0,0.38269
2275.0,0.38219
2280.0,0.38306
2285.0,0.3828
2290.0,0.38285
2295.0,0.38253
2300.0,0.38393
2305.0,0.38394
2310.0,0.38477
2315.0,0.38525
2320.0,0.38557
2325.0,0.38572
2330.0,0.38697
2335.0,0.38698
2340.0,0.38762
2345.0,0.38818
2350.0,0.38875
2355.0,0.38808
2360.0,0.38865
2365.0,0.38822
2370.0,0.38838
2375.0,0.38714
2380.0,0.38738
2385.0,0.38663
2390.0,0.38681
2395.0,0.38642
2400.0,0.38796
2405.0,0.38858
2410.0,0.38976
2415.0,0.39006
2420.0,0.39094
2425.0,0.39081
2430.0,0.39131
2435.0,0.39117
2440.0,0.3919
2445.0,0.39225
2450.0,0.39301
2455.0,0.39206
2460.0,0.39186
2465.0,0.39144
2470.0,0.39164
2475.0,0.3914
2480.0,0.3927
2485.0,0.3929
2490.0,0.39313
2495.0,0.39254
2500.0,0.39249
2505.0,0.39194
2510.0,0.39222
2515.0,0.39217
2520.0,0.3922
2525.0,0.39187
2530.0,0.39292
2535.0,0.39146
2540.0,0.39085
2545.0,0.39093
2550.0,0.3923
2555.0,0.38836
2560.0,0.39234
2565.0,0.39312
2570.0,0.39321
2575.0,0.39201
2580.0,0.39536
2585.0,0.39402
2590.0,0.39422
2595.0,0.397
2600.0,0.39354
